name,url,comment,category,last_update,star_count,fork_count,contributors_count,created_at,last_commit,repo_path,repo_status,rating,finml_added_date
Machine Learning for Trading,https://github.com/stefan-jansen/machine-learning-for-trading,"Notebooks, resources and references accompanying the book Machine Learning for Algorithmic Trading.",Courses,2021-04-12 16:18:26,3842.0,1225.0,8.0,2018-05-09 12:33:08,2021-04-10 22:21:29,stefan-jansen/machine-learning-for-trading,active,,
Basic Derivatives,https://github.com/SeanMcOwen/FinanceAndPython.com-Derivatives,Basic forward contracts and hedging.,Courses,2021-03-31 02:08:39,4.0,4.0,1.0,2017-08-24 00:11:37,2017-10-13 01:32:23,SeanMcOwen/FinanceAndPython.com-Derivatives,inactive,,
Handson Python for Finance,https://github.com/PacktPublishing/Hands-on-Python-for-Finance,Hands-on Python for Finance published by Packt.,Courses,2021-04-12 00:49:10,121.0,110.0,3.0,2018-08-20 14:10:37,2021-01-15 08:57:06,PacktPublishing/Hands-on-Python-for-Finance,active,,
Basic Investments,https://github.com/SeanMcOwen/FinanceAndPython.com-Investments,Basic investment tools in python.,Courses,2021-03-23 06:32:10,9.0,5.0,1.0,2017-08-02 21:52:19,2017-08-17 03:24:53,SeanMcOwen/FinanceAndPython.com-Investments,inactive,,
ML Specialisation,https://github.com/Ahmed0028/Machine-Learning-and-Reinforcement-Learning-in-Finance-Specialization,Machine Learning in Finance.,Courses,2021-04-05 13:37:33,34.0,32.0,1.0,2019-01-24 02:55:01,2020-01-03 21:54:16,Ahmed0028/Machine-Learning-and-Reinforcement-Learning-in-Finance-Specialization,active,,
Basic Finance,https://github.com/SeanMcOwen/FinanceAndPython.com-BasicFinance,Source code notebooks basic finance applications.,Courses,2021-03-31 02:09:16,10.0,8.0,1.0,2017-05-06 02:39:05,2017-06-21 04:04:09,SeanMcOwen/FinanceAndPython.com-BasicFinance,inactive,,
Risk Management,https://github.com/andrey-lukyanov/Risk-Management,Finance risk engagement course resources.,Courses,2020-11-12 00:49:51,6.0,5.0,3.0,2018-10-03 16:26:14,2018-12-13 08:04:15,andrey-lukyanov/Risk-Management,inactive,,
http://finance.yahoo.com/,http://finance.yahoo.com/,,Data,,,,,,,,,,
Rating Industries,http://www.ratingshistory.info/,,Data,,,,,,,,,,
https://fred.stlouisfed.org/,https://fred.stlouisfed.org/,,Data,,,,,,,,,,
Financial Corporate,http://raw.rutgers.edu/Corporate%20Financial%20Data.html,,Data,,,,,,,,,,
https://stooq.com,https://stooq.com,,Data,,,,,,,,,,
Non-financial Corporate,http://raw.rutgers.edu/Non-Financial%20Corporate%20Data.html,,Data,,,,,,,,,,
https://github.com/timestocome/StockMarketData,https://github.com/timestocome/StockMarketData,,Data,2021-03-26 22:35:04,7.0,5.0,1.0,2017-05-10 21:49:45,2017-08-06 19:23:18,timestocome/StockMarketData,inactive,,
Web Scraping (FirmAI),https://github.com/firmai/business-machine-learning/blob/master/www.firmai.org/data,,Data,2021-04-10 17:19:48,577.0,184.0,2.0,2019-02-19 19:02:59,2020-07-22 16:48:21,firmai/business-machine-learning,active,,
SEC Parsing,https://github.com/healthgradient/sec-doc-info-extraction/blob/master/classify_sections_containing_relevant_information.ipynb,,Data,2021-02-27 06:34:55,9.0,6.0,1.0,2018-06-16 14:30:06,2018-06-16 17:23:46,healthgradient/sec-doc-info-extraction,inactive,,
Open Edgar,https://github.com/LexPredict/openedgar,,Data,2021-04-09 12:15:03,169.0,61.0,6.0,2018-05-07 15:32:31,2019-05-15 08:32:30,LexPredict/openedgar,active,,
EDGAR,https://github.com/TiesdeKok/UW_Python_Camp/blob/master/Materials/Session_5/EDGAR_walkthrough.ipynb,,Data,2021-01-23 19:22:59,11.0,10.0,1.0,2018-06-11 22:51:57,2018-07-10 18:03:52,TiesdeKok/UW_Python_Camp,inactive,,
Employee Count SEC Filings,https://github.com/healthgradient/sec_employee_information_extraction,,Data,2021-02-27 03:33:31,10.0,2.0,1.0,2018-06-26 23:33:51,2018-08-14 01:31:13,healthgradient/sec_employee_information_extraction,inactive,,
IRS,http://social-metrics.org/sox/,,Data,,,,,,,,,,
Capital Markets Data,https://www.capitalmarketsdata.com/,,Data,,,,,,,,,,
Advanced ML II,https://github.com/hudson-and-thames/research,More implementations of Financial Machine Learning (De Prado).,Data Processing Techniques and Transformations,,,,,,,hudson-and-thames/research,,,
Advanced ML,https://github.com/BlackArbsCEO/Adv_Fin_ML_Exercises,Exercises too Financial Machine Learning (De Prado).,Data Processing Techniques and Transformations,2021-04-12 02:20:21,973.0,435.0,4.0,2018-04-25 17:22:40,2020-01-16 17:25:41,BlackArbsCEO/Adv_Fin_ML_Exercises,active,,
BitcoinForecast,https://github.com/PiSimo/BitcoinForecast,RNN model to predict short term price movement (in this case BTC for the next 9 minutes) [deepchart](https://pisimo.github.io/DeepChart/) is used to visualize the model ,Deep Learning And Reinforcement Learning,2021-04-06 02:06:05,289.0,128.0,3.0,2017-03-10 10:52:02,2018-06-11 08:07:02,PiSimo/BitcoinForecast,inactive,3.0,3/31/21 8:00
Pair-Trading-Reinforcement-Learning,https://github.com/wai-i/Pair-Trading-Reinforcement-Learning,NEW,Deep Learning And Reinforcement Learning,2021-04-10 04:53:28,136.0,56.0,1.0,2019-06-09 22:50:37,2020-01-03 15:36:22,wai-i/Pair-Trading-Reinforcement-Learning,active,,2021-04-12 16:39:11.055181
rl_trading,https://github.com/ucaiado/rl_trading,NEW,Deep Learning And Reinforcement Learning,2021-04-08 15:34:33,207.0,89.0,1.0,2017-05-29 22:19:00,2017-08-29 14:54:50,ucaiado/rl_trading,inactive,,2021-04-12 16:39:11.055181
Trading-Gym,https://github.com/thedimlebowski/Trading-Gym,NEW,Deep Learning And Reinforcement Learning,2021-04-10 08:00:08,507.0,147.0,3.0,2017-06-13 13:14:48,2017-07-10 08:09:30,thedimlebowski/Trading-Gym,inactive,,2021-04-12 16:39:11.055181
DQN-DDPG_Stock_Trading,https://github.com/AI4Finance-LLC/DQN-DDPG_Stock_Trading,merged into FinRL library and uses [gym](https://gym.openai.com/) and implementation of DQN,Deep Learning And Reinforcement Learning,2021-04-07 12:42:22,136.0,49.0,4.0,2018-09-19 03:17:06,2020-11-26 16:58:00,AI4Finance-LLC/DQN-DDPG_Stock_Trading,active,3.0,3/31/21 8:00
pairstrade-fyp-2019,https://github.com/wywongbd/pairstrade-fyp-2019,NEW,Deep Learning And Reinforcement Learning,2021-04-04 23:47:56,110.0,41.0,2.0,2018-09-07 07:51:06,2020-05-13 05:06:51,wywongbd/pairstrade-fyp-2019,active,,2021-04-12 16:39:11.055181
Machine-Learning-and-Reinforcement-Learning-in-Finance,https://github.com/joelowj/Machine-Learning-and-Reinforcement-Learning-in-Finance,NEW,Deep Learning And Reinforcement Learning,2021-03-30 09:11:21,175.0,98.0,1.0,2018-06-26 04:30:08,2018-09-23 16:50:33,joelowj/Machine-Learning-and-Reinforcement-Learning-in-Finance,inactive,,2021-04-12 16:39:11.055181
maro,https://github.com/microsoft/maro,NEW,Deep Learning And Reinforcement Learning,2021-04-12 02:22:41,386.0,66.0,17.0,2019-12-27 06:48:27,2021-04-07 15:49:38,microsoft/maro,active,,2021-04-12 16:39:11.055181
RLQuant,https://github.com/yuriak/RLQuant,NEW,Deep Learning And Reinforcement Learning,2021-04-09 05:01:03,277.0,92.0,1.0,2018-04-05 05:42:44,2018-08-13 04:18:29,yuriak/RLQuant,inactive,,2021-04-12 16:39:11.055181
TradingGym,https://github.com/cove9988/TradingGym,NEW,Deep Learning And Reinforcement Learning,2021-03-28 05:37:33,112.0,39.0,3.0,2017-11-06 00:50:01,2017-11-15 23:55:32,cove9988/TradingGym,inactive,,2021-04-12 16:39:11.055181
a3c_trading,https://github.com/evgps/a3c_trading,NEW,Deep Learning And Reinforcement Learning,2021-04-10 12:49:10,311.0,98.0,1.0,2018-06-04 15:30:16,2020-05-23 14:47:54,evgps/a3c_trading,active,,2021-04-12 16:39:11.055181
RL III,https://github.com/samre12/deep-trading-agent,Github -Deep Reinforcement Learning based Trading Agent for Bitcoin.,Deep Learning And Reinforcement Learning,2021-04-03 20:48:36,576.0,203.0,1.0,2017-09-21 17:05:19,2018-04-13 16:33:21,samre12/deep-trading-agent,inactive,3.0,
TradingGym,https://github.com/Yvictor/TradingGym,NEW,Deep Learning And Reinforcement Learning,2021-04-11 20:20:33,841.0,237.0,2.0,2017-05-01 13:53:32,2018-02-14 13:58:18,Yvictor/TradingGym,inactive,,2021-04-12 16:39:11.055181
QLearning_Trading,https://github.com/ucaiado/QLearning_Trading,NEW,Deep Learning And Reinforcement Learning,2021-04-06 22:09:31,433.0,168.0,1.0,2016-08-10 06:02:23,2016-10-15 02:36:09,ucaiado/QLearning_Trading,inactive,,2021-04-12 16:39:11.055181
gym-trading,https://github.com/hackthemarket/gym-trading,NEW,Deep Learning And Reinforcement Learning,2021-04-12 09:06:22,581.0,195.0,2.0,2016-12-09 20:46:19,2017-12-24 15:34:37,hackthemarket/gym-trading,inactive,,2021-04-12 16:39:11.055181
Pair Trading RL,https://github.com/shenyichen105/Deep-Reinforcement-Learning-in-Stock-Trading,Using deep actor-critic model to learn best strategies in pair trading.,Deep Learning And Reinforcement Learning,2021-03-27 02:19:29,241.0,113.0,1.0,2017-05-18 16:47:11,2017-05-18 16:56:38,shenyichen105/Deep-Reinforcement-Learning-in-Stock-Trading,inactive,3.0,
RL II,https://github.com/deependersingla/deep_trader,reinforcement learning on stock market and agent tries to learn trading.,Deep Learning And Reinforcement Learning,2021-04-11 20:21:25,1340.0,489.0,3.0,2016-06-11 07:27:10,2018-01-22 14:35:50,deependersingla/deep_trader,inactive,3.0,
RL,https://github.com/kh-kim/stock_market_reinforcement_learning,OpenGym with Deep Q-learning and Policy Gradient.,Deep Learning And Reinforcement Learning,2021-04-11 12:27:18,715.0,298.0,1.0,2016-10-04 14:42:19,2016-12-23 07:34:08,kh-kim/stock_market_reinforcement_learning,inactive,2.0,
RL V,https://github.com/gstenger98/rl-finance,Building an Agent to Trade with Reinforcement Learning.,Deep Learning And Reinforcement Learning,2021-04-08 18:57:53,33.0,8.0,5.0,2019-01-16 00:43:36,2020-03-19 20:28:08,gstenger98/rl-finance,active,2.0,
RL Trading,https://colab.research.google.com/drive/1FzLCI0AO3c7A4bp9Fi01UwXeoc7BN8sW,A collection of 25+ Reinforcement Learning Trading Strategies -Google Colab.,Deep Learning And Reinforcement Learning,,,,,,,,,4.0,
RL IV,https://github.com/jjakimoto/DQN,Reinforcement Learning for finance.,Deep Learning And Reinforcement Learning,2021-04-05 11:42:45,142.0,55.0,1.0,2016-10-21 02:47:17,2017-04-07 08:11:57,jjakimoto/DQN,inactive,,
tensortrade,https://github.com/tensortrade-org/tensortrade,NEW,Deep Learning And Reinforcement Learning,2021-04-12 16:05:19,3101.0,715.0,39.0,2019-07-30 21:28:32,2021-03-24 16:25:28,tensortrade-org/tensortrade,active,,2021-04-12 16:39:11.055181
Deep-Learning-Machine-Learning-Stock,https://github.com/LastAncientOne/Deep-Learning-Machine-Learning-Stock,curated list of notebooks for machine learning models. Start with very simple linear models to more advanced reinforcement learning type of models. Problem with this repo is that the library version numbers may be changing over time and there's no specific way to track and upgrade,Deep Learning And Reinforcement Learning,2021-04-12 02:58:32,275.0,99.0,1.0,2018-09-29 23:38:06,2021-03-18 03:16:36,LastAncientOne/Deep-Learning-Machine-Learning-Stock,active,3.0,3/31/21 8:00
Deep-Reinforcement-Learning-in-Trading,https://github.com/saeed349/Deep-Reinforcement-Learning-in-Trading,Deep reinforcement learning for trading leveraging [openai gym](https://gym.openai.com/) framework. Keras implementation of DQN DDQN (double deep Q network) and DDDQN (dueling double dqn) trained/tested on s&p 500 daily data from 2013 to 2018. approach is described in an article [here](https://www.linkedin.com/pulse/deep-reinforcement-learning-trading-saeed-rahman),Deep Learning And Reinforcement Learning,2021-04-10 13:17:25,138.0,66.0,1.0,2018-05-11 00:52:14,2019-10-26 14:22:44,saeed349/Deep-Reinforcement-Learning-in-Trading,active,3.0,3/31/21 8:00
Personae,https://github.com/Ceruleanacg/Personae,implementation of deep reinforcement learning and supervised learnings covering areas: deep deterministic policy gradient (DDPG) and DDQN etc. Data are being pulled from [rqalpha](https://github.com/ricequant/rqalpha) which is a python backtest engine and have a nice docker image to run training/testing,Deep Learning And Reinforcement Learning,2021-04-11 20:20:48,1144.0,330.0,2.0,2018-03-10 11:22:00,2018-09-02 17:21:38,Ceruleanacg/Personae,inactive,5.0,3/31/21 8:00
awesome-deep-trading,https://github.com/cbailes/awesome-deep-trading,curated list of papers/repos on topics like CNN/LSTM/GAN/Reinforcement Learning etc. Categorized as deep learning for now but there are other topics here. Manually maintained by cbailes,Deep Learning And Reinforcement Learning,2021-04-11 09:02:46,551.0,140.0,1.0,2018-11-26 03:23:04,2021-01-01 09:41:21,cbailes/awesome-deep-trading,active,4.0,3/31/21 8:00
trading-rl,https://github.com/Kostis-S-Z/trading-rl,Deep reinforcement learning for financial trading using [gym](https://gym.openai.com/) and [keras-rl](https://github.com/keras-rl/keras-rl) on FX dataset (EURUSD) not actively maintained,Deep Learning And Reinforcement Learning,2021-04-10 04:59:14,180.0,38.0,2.0,2019-04-22 10:03:21,2020-09-28 09:07:18,Kostis-S-Z/trading-rl,active,3.0,3/31/21 8:00
RLTrader,https://github.com/notadamking/RLTrader,predecessor to [tensortrade](https://github.com/tensortrade-org/tensortrade) uses open api [gym](https://gym.openai.com/) and neat way to render matplotlib plots in real time. Also explains LSTM/data stationarity/Bayesian optimization using [Optuna](https://github.com/optuna/optuna) etc.,Deep Learning And Reinforcement Learning,2021-04-12 02:50:22,1312.0,451.0,15.0,2019-04-27 18:35:15,2019-10-17 16:25:49,notadamking/RLTrader,active,5.0,3/31/21 8:00
Stock-Prediction-Models,https://github.com/huseinzol05/Stock-Prediction-Models,very good curated list of notebooks showing deep learning + reinforcement learning models. Also contain topics on outlier detections/overbought oversold study/monte carlo simulartions/sentiment analysis from text (text storage/parsing is not detailed but it mentioned using [BERT](https://github.com/google-research/bert)),Deep Learning And Reinforcement Learning,2021-04-12 13:54:15,3655.0,1542.0,2.0,2017-12-18 10:49:59,2021-01-05 10:31:50,huseinzol05/Stock-Prediction-Models,active,5.0,3/31/21 8:00
Deep Learning III,https://github.com/Rachnog/Deep-Trading,Algorithmic trading with deep learning experiments.,Deep Learning And Reinforcement Learning,2021-04-09 10:39:54,1266.0,675.0,1.0,2016-06-18 18:23:06,2018-08-07 15:24:45,Rachnog/Deep-Trading,inactive,5.0,
LTSM Recurrent,https://github.com/VivekPa/AIAlpha,OHLC Average Prediction of Apple Inc. Using LSTM Recurrent Neural Network.,Deep Learning And Reinforcement Learning,2021-04-12 02:39:50,1207.0,370.0,2.0,2018-10-07 03:58:26,2019-08-03 09:00:44,VivekPa/AIAlpha,active,4.0,
ARIMA-LTSM Hybrid,https://github.com/imhgchoi/Corr_Prediction_ARIMA_LSTM_Hybrid,Hybrid model to predict future price correlation coefficients of two assets.,Deep Learning And Reinforcement Learning,2021-04-11 04:12:38,222.0,86.0,1.0,2018-08-05 02:13:21,2018-10-01 11:25:53,imhgchoi/ARIMA-LSTM-hybrid-corrcoef-predict,inactive,3.0,
AI Trading,https://github.com/borisbanushev/stockpredictionai/blob/master/readme2.md,AI to predict stock market movements.,Deep Learning And Reinforcement Learning,2021-04-12 15:42:20,2876.0,1384.0,1.0,2019-01-09 08:02:47,2019-02-11 16:32:47,borisbanushev/stockpredictionai,inactive,5.0,
Deep Learning IV,https://github.com/achillesrasquinha/bulbea,Bulbea: Deep Learning based Python Library.,Deep Learning And Reinforcement Learning,2021-04-09 20:38:16,1467.0,416.0,1.0,2017-03-09 06:11:06,2017-03-19 07:42:49,achillesrasquinha/bulbea,inactive,5.0,
Neural Network,https://github.com/VivekPa/IntroNeuralNetworks,Neural networks to predict stock prices.,Deep Learning And Reinforcement Learning,2021-04-03 11:59:40,489.0,176.0,2.0,2018-09-10 06:34:53,2018-11-21 07:39:31,VivekPa/IntroNeuralNetworks,inactive,4.0,
Deep Learning II,https://github.com/LiamConnell/deep-algotrading/tree/master/notebooks,Tensorflow Regression.,Deep Learning And Reinforcement Learning,2021-04-10 06:06:01,175.0,67.0,1.0,2016-07-12 12:56:10,2018-02-16 02:43:36,LiamConnell/deep-algotrading,inactive,3.0,
Deep Learning,https://github.com/keon/deepstock,Technical experimentations to beat the stock market using deep learning.,Deep Learning And Reinforcement Learning,2021-03-24 14:45:00,427.0,154.0,2.0,2016-12-12 02:15:12,2017-03-04 08:37:29,keon/deepstock,inactive,4.0,
LTSM GRU,https://github.com/RajatHanda/Finance-Forecasting,Stock Market Forecasting using LSTM\GRU.,Deep Learning And Reinforcement Learning,2021-03-29 23:59:32,11.0,6.0,1.0,2018-05-13 02:39:32,2019-02-25 00:26:42,RajatHanda/Finance-Forecasting,inactive,3.0,
DeepLearningInFinance,https://github.com/sonaam1234/DeepLearningInFinance,Based on a [talk](https://towardsdatascience.com/deep-learning-in-finance-9e088cb17c03) Sonam Srivastava gave and there are two studies: 1. single timeseries return prediction using ARIMA/VAR/SVR/Deep Regression/CNN/LSTM 2. indexed portfolio construction using autoencoders i.e. replicate a index using handful of stocks. ,Deep Learning And Reinforcement Learning,2021-03-08 13:09:27,266.0,145.0,1.0,2017-08-21 16:00:42,2017-08-21 17:23:48,sonaam1234/DeepLearningInFinance,inactive,3.0,3/31/21 8:00
crypto-rl,https://github.com/sadighian/crypto-rl,Retrieve limit order book level data from coinbase pro and bitfinex -> record in [arctic](https://github.com/man-group/arctic) timeseries database then implemented trend following strategies (market orders) and market making (limit orders). Uses reinforcement learning (DQN) [keras-rl](https://github.com/keras-rl/keras-rl) to create agents and uses [openai gym](https://gym.openai.com/) to implement POMDP (partially observable markov decision process),Deep Learning And Reinforcement Learning,2021-04-12 10:24:43,347.0,111.0,1.0,2018-06-21 01:06:01,2020-11-05 11:08:19,sadighian/crypto-rl,active,3.0,3/31/21 8:00
trading-bot,https://github.com/pskrunner14/trading-bot,Implementation of deep reinforcement learning using Deep Q Network (DQN). Only supports single security at the moment. Idea is roughly based [here](https://keon.github.io/deep-q-learning/) and uses tensorflow/keras. Interesting helper python libraries used here are [tqdm](https://tqdm.github.io/) for console based progress bar and [altair](https://altair-viz.github.io/) for declarative visualization in python ,Deep Learning And Reinforcement Learning,2021-04-11 05:10:55,292.0,143.0,1.0,2018-08-13 10:44:08,2020-01-23 04:41:20,pskrunner14/trading-bot,active,3.0,3/31/21 8:00
Deep-Reinforcement-Stock-Trading,https://github.com/Albert-Z-Guo/Deep-Reinforcement-Stock-Trading,inspired by Q-trader a deep reinforcement learning repo for trading. Only 3 actions allowed (buy/hold/sell) and no transaction cost is implemented yet. Uses [empyrical](https://github.com/quantopian/empyrical) for portfolio stats,Deep Learning And Reinforcement Learning,2021-04-03 22:50:43,141.0,42.0,2.0,2019-05-19 22:20:05,2020-09-27 19:22:28,Albert-Z-Guo/Deep-Reinforcement-Stock-Trading,active,3.0,3/31/21 8:00
Advanced-Deep-Trading,https://github.com/Rachnog/Advanced-Deep-Trading,"notebooks containing experiments based on Lopez de Prado book ""Advances in financial machine learning"". Mostly not deep learning related but rather sklearn regression models. Interesting libraries include [mlfinlab](https://github.com/hudson-and-thames/mlfinlab) for calculating return stats and [shap](https://github.com/slundberg/shap) for explaining models. Examlpe of shap can be which features are pushing the value up and and which features are pushing the value down. Also contain functions for calculating geometric brownian motion and jump diffusion functions. ",Deep Learning And Reinforcement Learning,2021-03-30 07:29:06,319.0,158.0,2.0,2019-02-16 21:18:00,2020-11-29 20:12:59,Rachnog/Advanced-Deep-Trading,active,3.0,3/31/21 8:00
Deep-Reinforcement-Learning-for-Automated-Stock-Trading-Ensemble-Strategy-ICAIF-2020,https://github.com/AI4Finance-LLC/Deep-Reinforcement-Learning-for-Automated-Stock-Trading-Ensemble-Strategy-ICAIF-2020,Part of FinRL and provided code for paper [deep reinformacement learning for automated stock trading](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3690996) focuses on ensemble.,Deep Learning And Reinforcement Learning,2021-04-12 16:24:32,560.0,249.0,6.0,2020-07-26 13:12:53,2021-01-21 18:11:59,AI4Finance-LLC/Deep-Reinforcement-Learning-for-Automated-Stock-Trading-Ensemble-Strategy-ICAIF-2020,active,4.0,3/31/21 8:00
AutomatedStockTrading-DeepQ-Learning,https://github.com/sachink2010/AutomatedStockTrading-DeepQ-Learning,cornerstone project repo for Udacity nanodegree program [Become a machine learning engineer](https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t) and focus on trading using deep q learning. Good explanation on design choices in the report,Deep Learning And Reinforcement Learning,2021-03-24 01:11:36,134.0,51.0,2.0,2019-02-23 12:01:21,2020-02-25 18:16:34,sachink2010/AutomatedStockTrading-DeepQ-Learning,active,3.0,3/31/21 8:00
deep-RL-trading,https://github.com/golsun/deep-RL-trading,trading game comparing RNN vs CNN vs MLP based on [paper](https://arxiv.org/abs/1803.03916),Deep Learning And Reinforcement Learning,2021-04-10 07:09:48,235.0,108.0,1.0,2018-02-25 17:41:42,2020-12-01 22:06:39,golsun/deep-RL-trading,active,3.0,3/31/21 8:00
FinRL-Library,https://github.com/AI4Finance-LLC/FinRL-Library,started by Columbia university engineering students and designed as an end to end deep reinforcement learning library for automated trading platform. Implementation of DQN DDQN DDPG etc using PyTorch and [gym](https://gym.openai.com/) use [pyfolio](https://github.com/quantopian/pyfolio) for showing backtesting stats. Big contributions on Proximal Policy Optimization (PPO) advantage actor critic (A2C) and Deep Deterministic Policy Gradient (DDPG) agents for trading,Deep Learning And Reinforcement Learning,2021-04-12 12:45:15,1857.0,447.0,22.0,2020-07-26 13:18:16,2021-04-11 22:02:16,AI4Finance-LLC/FinRL-Library,active,5.0,3/31/21 8:00
Derman,https://github.com/rstreppa/valuation-convertibles-Goldman1994/blob/master/ConvertibleBond_Goldman1994_Derman.ipynb,Binomial tree for American call.,Derivatives and Hedging,2020-10-06 20:37:15,1.0,3.0,1.0,2018-05-18 18:08:16,2018-09-21 19:59:01,rstreppa/valuation-convertibles-Goldman1994,inactive,,
Hull White,https://github.com/rstreppa/valuation-callables-HullWhite/blob/master/CallableBond_HullWhite.ipynb,"Callable Bond, Hull White.",Derivatives and Hedging,2020-10-06 20:37:16,4.0,6.0,1.0,2018-06-06 22:06:06,2018-06-06 22:27:02,rstreppa/valuation-callables-HullWhite,inactive,,
Derivative Markets,https://github.com/broughtj/Fin6470/tree/master/Notebooks,"The economics of futures, futures, options, and swaps.",Derivatives and Hedging,2021-04-06 20:49:50,8.0,8.0,1.0,2016-02-09 05:30:27,2021-04-06 20:49:41,broughtj/Fin6470,active,,
Options,https://github.com/QuantConnect/Tutorials/tree/master/06%20Introduction%20to%20Options%5B%5D,Introduction to options.,Derivatives and Hedging,2021-04-09 21:17:26,335.0,163.0,36.0,2017-07-28 15:48:29,2021-03-17 17:17:08,QuantConnect/Tutorials,active,,
Volatility and Variance Derivatives,https://github.com/yhilpisch/lvvd/tree/master/lvvd,Volatility derivatives analytics.,Derivatives and Hedging,2021-04-07 19:21:15,79.0,78.0,1.0,2016-10-21 04:12:50,2021-02-22 13:32:00,yhilpisch/lvvd,active,,
Reinforcement Learning,https://github.com/FinTechies/HedgingRL,Hedging portfolios with reinforcement learning.,Derivatives and Hedging,2021-01-20 08:12:13,16.0,9.0,1.0,2017-04-21 10:58:56,2017-08-02 21:41:06,FinTechies/HedgingRL,inactive,,
Options,https://github.com/PHBS/2018.M1.ASP/tree/master/py,Black Scholes and Copula.,Derivatives and Hedging,,,,,,,PHBS/2018.M1.ASP,,,
Derivatives Python,https://github.com/yhilpisch/dawp/tree/master/python36,Derivative analytics with Python.,Derivatives and Hedging,2021-04-12 14:39:55,388.0,299.0,1.0,2015-07-09 12:27:29,2021-02-22 13:29:18,yhilpisch/dawp,active,,
